"Região","Área","Ocupação","Opinião","Renda","Idade"
"Nortúmbria","Educação","Aposentado","Satisfatório",1.35,18
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",2.06,76
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",2.55,34
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",4.09,27
"Aquitânia","Saúde pública","Empresário","Péssimo",6.73,43
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",4.05,51
"Aquitânia","Saúde pública","Empresário","Péssimo",5.97,45
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.53,27
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.33,31
"Querétaro","Segurança pública","Profissional liberal","Péssimo",3.74,36
"Dalmácia","Educação","Funcionário público","Indiferente",2.18,28
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",1.5,20
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.6,41
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.77,42
"Nortúmbria","Infraestrutura","Aposentado","Satisfatório",1.44,21
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",7.44,48
"Catamarca","Segurança pública","Profissional liberal","Insatisfatório",2.38,43
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.52,35
"Aquitânia","Saúde pública","Empresário","Péssimo",3.81,46
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.08,34
"Dalmácia","Infraestrutura","Aposentado","Indiferente",2.05,26
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.73,30
"Catamarca","Educação","Profissional liberal","Péssimo",3.98,35
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.42,37
"Dalmácia","Educação","Profissional liberal","Indiferente",2.73,33
"Catamarca","Segurança pública","Aposentado","Péssimo",4.3,39
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.34,30
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.29,18
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.15,42
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.19,18
"Catamarca","Educação","Aposentado","Indiferente",4.15,23
"Querétaro","Infraestrutura","Profissional liberal","Indiferente",2.87,36
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.01,36
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",3.21,34
"Dalmácia","Infraestrutura","Aposentado","Indiferente",2.67,22
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Excelente",1.37,27
"Dalmácia","Educação","Profissional liberal","Insatisfatório",1.43,49
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.06,23
"Catamarca","Segurança pública","Profissional liberal","Péssimo",3.61,45
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.14,18
"Dalmácia","Educação","Funcionário público","Indiferente",2.56,21
"Dalmácia","Educação","Aposentado","Indiferente",2.4,21
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.2,19
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",8.07,43
"Aquitânia","Saúde pública","Empresário","Péssimo",2.63,52
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.09,40
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",2.12,18
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",1.8,33
"Aquitânia","Segurança pública","Empresário","Péssimo",5.29,60
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.37,29
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",3.29,76
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.48,29
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.1,26
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.58,40
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.18,32
"Catamarca","Saúde pública","Assalariado/Autônomo","Insatisfatório",2.54,35
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",5.24,33
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",8.53,53
"Dalmácia","Infraestrutura","Aposentado","Excelente",1.27,22
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",3.42,52
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.7,41
"Nortúmbria","Educação","Aposentado","Satisfatório",1.39,19
"Aquitânia","Saúde pública","Empresário","Péssimo",6.85,48
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.75,25
"Catamarca","Segurança pública","Profissional liberal","Péssimo",4.33,42
"Nortúmbria","Infraestrutura","Aposentado","Indiferente",1.8,18
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",2.86,21
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.3,22
"Catamarca","Educação","Empresário","Péssimo",3.16,40
"Dalmácia","Educação","Aposentado","Indiferente",1.4,66
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",9.91,48
"Dalmácia","Infraestrutura","Aposentado","Satisfatório",1.23,24
"Dalmácia","Educação","Funcionário público","Insatisfatório",2.7,32
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",3.7,43
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",4.59,34
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.81,39
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.33,26
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.24,36
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.55,27
"Aquitânia","Saúde pública","Empresário","Péssimo",5.98,47
"Dalmácia","Educação","Funcionário público","Indiferente",2.1,31
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.96,37
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.71,43
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.16,37
"Querétaro","Educação","Funcionário público","Indiferente",2.41,29
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",3.99,41
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.14,19
"Dalmácia","Infraestrutura","Funcionário público","Satisfatório",1.41,22
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",6.07,42
"Catamarca","Segurança pública","Empresário","Péssimo",2.43,42
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.57,36
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",3.6,27
"Nortúmbria","Educação","Funcionário público","Excelente",1.12,18
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",4.33,42
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",4.16,33
"Dalmácia","Educação","Aposentado","Indiferente",2.28,35
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",2.74,53
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",6.41,33
"Dalmácia","Infraestrutura","Desempregado","Excelente",1.37,23
"Dalmácia","Infraestrutura","Aposentado","Excelente",1.08,25
"Aquitânia","Saúde pública","Empresário","Péssimo",5.6,58
"Dalmácia","Infraestrutura","Aposentado","Indiferente",1.92,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.33,24
"Catamarca","Educação","Funcionário público","Indiferente",3.91,30
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.87,26
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",2.87,43
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",2.19,35
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.16,18
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Excelente",1.08,28
"Aquitânia","Educação","Empresário","Péssimo",4.64,44
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",2.09,22
"Dalmácia","Educação","Funcionário público","Indiferente",4.45,20
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.04,45
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.21,38
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.77,24
"Querétaro","Infraestrutura","Assalariado/Autônomo","Indiferente",3.49,32
"Dalmácia","Saúde pública","Assalariado/Autônomo","Insatisfatório",2.07,42
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.3,37
"Catamarca","Saúde pública","Profissional liberal","Insatisfatório",2.2,37
"Dalmácia","Educação","Funcionário público","Indiferente",1.65,19
"Dalmácia","Educação","Desempregado","Satisfatório",1.56,24
"Catamarca","Saúde pública","Profissional liberal","Insatisfatório",2.58,38
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.12,44
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.55,22
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.1,31
"Dalmácia","Infraestrutura","Aposentado","Satisfatório",1.49,29
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.13,30
"Nortúmbria","Educação","Aposentado","Indiferente",1.44,27
"Dalmácia","Infraestrutura","Aposentado","Indiferente",1.89,26
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.36,24
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.16,29
"Querétaro","Segurança pública","Assalariado/Autônomo","Péssimo",2.1,42
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.9,36
"Nortúmbria","Segurança pública","Funcionário público","Indiferente",1.72,19
"Dalmácia","Educação","Funcionário público","Indiferente",2.13,18
"Dalmácia","Segurança pública","Funcionário público","Indiferente",2.1,22
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",2.36,33
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.27,18
"Catamarca","Saúde pública","Profissional liberal","Péssimo",4.97,34
"Dalmácia","Saúde pública","Empresário","Péssimo",3.03,29
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",4.99,46
"Dalmácia","Educação","Desempregado","Excelente",1.46,18
"Catamarca","Educação","Profissional liberal","Péssimo",4.16,42
"Catamarca","Saúde pública","Profissional liberal","Insatisfatório",3.16,29
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.52,45
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",6.45,44
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.95,43
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.64,31
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.1,31
"Dalmácia","Educação","Funcionário público","Indiferente",1.63,26
"Aquitânia","Saúde pública","Empresário","Péssimo",5.13,62
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.82,37
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.2,34
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.18,31
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",4.71,32
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",4.25,39
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.33,34
"Aquitânia","Saúde pública","Empresário","Péssimo",4.86,50
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",5.04,46
"Catamarca","Segurança pública","Empresário","Péssimo",4.22,47
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.7,39
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",5.57,37
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.87,34
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.11,32
"Dalmácia","Segurança pública","Funcionário público","Indiferente",2.25,28
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",2.61,23
"Dalmácia","Educação","Funcionário público","Indiferente",1.79,33
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.28,29
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",2.51,31
"Querétaro","Educação","Profissional liberal","Indiferente",2.76,38
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.47,29
"Dalmácia","Educação","Profissional liberal","Insatisfatório",1.86,38
"Aquitânia","Educação","Profissional liberal","Péssimo",4.62,43
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.61,38
"Querétaro","Saúde pública","Assalariado/Autônomo","Indiferente",2.23,26
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",3.6,42
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.64,39
"Querétaro","Infraestrutura","Desempregado","Indiferente",3.01,35
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",2.36,22
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.03,40
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.05,36
"Nortúmbria","Educação","Funcionário público","Excelente",1.16,20
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",5.03,33
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",1.89,33
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.2,35
"Nortúmbria","Educação","Funcionário público","Satisfatório",1.17,19
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.7,32
"Catamarca","Educação","Profissional liberal","Péssimo",2.24,49
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",4.74,52
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",6.17,43
"Dalmácia","Educação","Aposentado","Indiferente",2.65,32
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.47,35
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",7.94,42
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.04,23
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.15,29
"Catamarca","Educação","Empresário","Péssimo",4.11,36
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",4.45,26
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.12,44
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.53,40
"Dalmácia","Educação","Funcionário público","Indiferente",2.89,25
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.69,29
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.23,36
"Querétaro","Segurança pública","Funcionário público","Insatisfatório",3.51,27
"Dalmácia","Educação","Profissional liberal","Insatisfatório",3.27,39
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.03,18
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.7,48
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.84,34
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",4.9,32
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.19,38
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",3.11,38
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.71,32
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.09,33
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.46,37
"Aquitânia","Segurança pública","Empresário","Péssimo",4.42,49
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",2.91,40
"Catamarca","Educação","Funcionário público","Insatisfatório",4.35,36
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",4.71,36
"Catamarca","Educação","Empresário","Péssimo",4.38,42
"Dalmácia","Educação","Aposentado","Excelente",1.32,20
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.7,40
"Dalmácia","Infraestrutura","Aposentado","Satisfatório",1.67,46
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",3.76,28
"Dalmácia","Infraestrutura","Aposentado","Indiferente",2.24,25
"Querétaro","Educação","Profissional liberal","Péssimo",3.63,38
"Dalmácia","Educação","Funcionário público","Indiferente",2.1,27
"Aquitânia","Segurança pública","Empresário","Péssimo",4.21,46
"Dalmácia","Educação","Aposentado","Satisfatório",1.27,27
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",2.1,42
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",7.47,50
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.2,28
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.11,34
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.13,22
"Dalmácia","Educação","Funcionário público","Indiferente",2.2,30
"Nortúmbria","Educação","Aposentado","Satisfatório",1.19,23
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.87,28
"Dalmácia","Infraestrutura","Funcionário público","Satisfatório",1.2,32
"Dalmácia","Educação","Aposentado","Excelente",1.24,22
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",2.97,51
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.82,32
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.6,27
"Aquitânia","Saúde pública","Empresário","Péssimo",6.8,42
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",7.87,44
"Dalmácia","Segurança pública","Aposentado","Indiferente",1.46,28
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.55,39
"Aquitânia","Educação","Profissional liberal","Péssimo",6.08,47
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.14,35
"Aquitânia","Segurança pública","Funcionário público","Péssimo",6.9,45
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.61,23
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",8.92,48
"Aquitânia","Segurança pública","Empresário","Péssimo",4.94,40
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",2.9,48
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",6.06,38
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",4.94,42
"Catamarca","Segurança pública","Assalariado/Autônomo","Indiferente",3.07,23
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",4.69,49
"Catamarca","Segurança pública","Empresário","Péssimo",2.52,42
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",1.94,32
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.22,35
"Dalmácia","Educação","Aposentado","Indiferente",1.82,22
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",4.04,38
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.27,37
"Catamarca","Saúde pública","Aposentado","Insatisfatório",3.78,34
"Querétaro","Segurança pública","Aposentado","Indiferente",1.72,26
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",8.44,41
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",5.84,41
"Catamarca","Educação","Profissional liberal","Insatisfatório",1.81,44
"Dalmácia","Educação","Funcionário público","Indiferente",1.3,28
"Dalmácia","Educação","Aposentado","Indiferente",1.33,30
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",5.09,44
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.54,42
"Catamarca","Educação","Empresário","Insatisfatório",3.06,53
"Dalmácia","Segurança pública","Funcionário público","Insatisfatório",2.2,42
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.15,18
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.87,29
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.4,38
"Aquitânia","Segurança pública","Empresário","Péssimo",4.78,41
"Aquitânia","Saúde pública","Empresário","Péssimo",6.9,56
"Dalmácia","Infraestrutura","Desempregado","Satisfatório",1.64,21
"Nortúmbria","Educação","Aposentado","Excelente",1.04,18
"Dalmácia","Educação","Profissional liberal","Indiferente",2.05,32
"Catamarca","Educação","Empresário","Insatisfatório",2.2,46
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.81,21
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",8.79,56
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.8,39
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.16,18
"Catamarca","Segurança pública","Profissional liberal","Péssimo",6.64,39
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.14,35
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",15.16,60
"Aquitânia","Segurança pública","Empresário","Péssimo",6.96,57
"Dalmácia","Educação","Funcionário público","Insatisfatório",2.82,25
"Dalmácia","Infraestrutura","Funcionário público","Satisfatório",1.43,24
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",3.2,47
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.29,18
"Dalmácia","Infraestrutura","Aposentado","Indiferente",2.33,28
"Nortúmbria","Infraestrutura","Desempregado","Satisfatório",1.83,18
"Nortúmbria","Infraestrutura","Funcionário público","Satisfatório",1.13,20
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.69,27
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.75,31
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.72,36
"Nortúmbria","Educação","Assalariado/Autônomo","Satisfatório",1.26,20
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.1,18
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.65,33
"Catamarca","Educação","Profissional liberal","Péssimo",5.02,34
"Nortúmbria","Infraestrutura","Funcionário público","Indiferente",1.64,26
"Aquitânia","Saúde pública","Empresário","Péssimo",7.12,43
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.74,28
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.84,23
"Catamarca","Educação","Funcionário público","Insatisfatório",2.92,34
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.24,18
"Querétaro","Segurança pública","Funcionário público","Insatisfatório",2.19,30
"Dalmácia","Educação","Funcionário público","Indiferente",4.68,27
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.24,44
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.85,21
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.89,22
"Catamarca","Segurança pública","Empresário","Indiferente",2,44
"Catamarca","Segurança pública","Profissional liberal","Péssimo",3.97,42
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.74,34
"Nortúmbria","Educação","Aposentado","Satisfatório",1.06,30
"Dalmácia","Infraestrutura","Aposentado","Satisfatório",2.07,18
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.09,33
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",2.9,38
"Dalmácia","Educação","Funcionário público","Indiferente",2.94,21
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.24,35
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.84,30
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.26,31
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.25,18
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.41,32
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.02,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.41,33
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",6.04,47
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.99,36
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.4,36
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",1.53,30
"Aquitânia","Saúde pública","Empresário","Péssimo",6.55,56
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.82,32
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",5.78,42
"Dalmácia","Infraestrutura","Aposentado","Satisfatório",1.32,26
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",1.87,33
"Aquitânia","Educação","Empresário","Péssimo",7.3,52
"Nortúmbria","Infraestrutura","Funcionário público","Satisfatório",1.27,20
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",1.61,33
"Dalmácia","Educação","Funcionário público","Satisfatório",1.77,18
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.28,18
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",6.2,65
"Querétaro","Educação","Funcionário público","Insatisfatório",2.19,33
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.02,46
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",4.26,34
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.55,28
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.11,36
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.29,35
"Querétaro","Educação","Profissional liberal","Insatisfatório",2.66,34
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.05,29
"Dalmácia","Educação","Funcionário público","Satisfatório",1.4,28
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",2.16,23
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.9,34
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",2.17,26
"Catamarca","Educação","Aposentado","Indiferente",2.52,31
"Catamarca","Saúde pública","Profissional liberal","Péssimo",3.27,35
"Dalmácia","Educação","Funcionário público","Indiferente",1.79,34
"Dalmácia","Infraestrutura","Funcionário público","Satisfatório",1.51,21
"Aquitânia","Saúde pública","Empresário","Péssimo",5.96,44
"Dalmácia","Educação","Aposentado","Insatisfatório",2.3,39
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.02,18
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.02,38
"Catamarca","Educação","Profissional liberal","Péssimo",2.7,46
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",2.93,41
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",3.64,29
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Satisfatório",2.09,24
"Catamarca","Segurança pública","Empresário","Péssimo",4.57,44
"Dalmácia","Educação","Funcionário público","Indiferente",1.95,29
"Dalmácia","Educação","Aposentado","Satisfatório",1.49,23
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.61,31
"Dalmácia","Educação","Aposentado","Indiferente",2.06,37
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.73,29
"Querétaro","Saúde pública","Funcionário público","Insatisfatório",2.77,33
"Nortúmbria","Educação","Assalariado/Autônomo","Excelente",1.22,18
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.88,35
"Nortúmbria","Educação","Aposentado","Satisfatório",1.58,18
"Dalmácia","Segurança pública","Empresário","Insatisfatório",2.05,34
"Querétaro","Educação","Funcionário público","Péssimo",2.76,46
"Aquitânia","Saúde pública","Empresário","Péssimo",9.12,46
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.77,33
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.91,41
"Aquitânia","Educação","Empresário","Péssimo",6.14,42
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",3.28,31
"Nortúmbria","Infraestrutura","Funcionário público","Satisfatório",1.17,26
"Dalmácia","Educação","Funcionário público","Satisfatório",1.76,21
"Nortúmbria","Educação","Funcionário público","Indiferente",1.74,27
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.84,39
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.97,40
"Dalmácia","Infraestrutura","Funcionário público","Satisfatório",1.69,23
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.29,28
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",4.36,24
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.19,39
"Querétaro","Saúde pública","Assalariado/Autônomo","Indiferente",1.85,34
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",8.09,42
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",4.45,47
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",3.69,47
